b'2023-05-02 10:38:00.613183   1609 ..' 
b'2023-05-02 10:38:02.618191   1611 .' 
b'2023-05-02 10:38:10.632063   1619 .' 
b'2023-05-02 10:38:12.635884   1621 ..' 
b'2023-05-02 10:38:26.662317   1635 ..' 
b'2023-05-02 10:38:27.664021   1636 .' 
b'2023-05-02 10:38:28.665813   1637 .' 
b'2023-05-02 10:38:31.671131   1640 .' 
b'2023-05-02 10:38:33.674191   1642 .' 
b'2023-05-02 10:38:35.677704   1644 .' 
b'2023-05-02 10:38:41.690638   1650 .' 
